Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Payment,Rating,Sales
INV-001,2024-03-19,Branch C,Mumbai,Member,Male,Eggs,Dairy,5,65.0,UPI,3.5,325.0
INV-002,2024-10-09,Branch C,Mumbai,Member,Female,Milk,Beverages,6,95.0,UPI,3.5,570.0
INV-003,2024-11-16,Branch C,Mumbai,Member,Male,Biscuits,Snacks,5,45.0,UPI,3.5,225.0
INV-004,2024-12-17,Branch C,Mumbai,Normal,Female,Rice,Grains,6,80.0,Cash,3.5,480.0
INV-005,2024-05-31,Branch C,Mumbai,Normal,Female,Rice,Grains,6,80.0,Credit Card,3.5,480.0
INV-006,2024-02-06,Branch C,Mumbai,Member,Female,Bread,Bakery,5,55.0,Credit Card,3.5,275.0
INV-007,2024-05-26,Branch C,Mumbai,Normal,Female,Chips,Snacks,5,55.0,Credit Card,3.5,275.0
INV-008,2024-12-17,Branch C,Mumbai,Member,Female,Bread,Bakery,5,55.0,UPI,3.5,275.0
INV-009,2024-05-12,Branch C,Mumbai,Member,Male,Chips,Snacks,5,55.0,Credit Card,3.5,275.0
INV-010,2024-07-07,Branch C,Mumbai,Member,Female,Sugar,Grocery,5,50.0,UPI,3.5,250.0
INV-011,2024-02-08,Branch C,Mumbai,Normal,Male,Chips,Snacks,5,55.0,UPI,3.5,275.0
INV-012,2024-07-04,Branch C,Mumbai,Normal,Female,Juice,Beverages,6,110.0,Cash,3.5,660.0
INV-013,2024-06-24,Branch C,Mumbai,Member,Male,Biscuits,Snacks,5,45.0,Cash,3.5,225.0
INV-014,2024-08-19,Branch C,Mumbai,Normal,Male,Tea,Beverages,5,75.0,Cash,3.5,375.0
INV-015,2024-01-18,Branch C,Mumbai,Normal,Female,Tea,Beverages,5,75.0,UPI,3.5,375.0
INV-016,2024-08-06,Branch C,Mumbai,Member,Female,Bread,Bakery,5,55.0,UPI,3.5,275.0
INV-017,2024-06-03,Branch C,Mumbai,Normal,Male,Rice,Grains,6,80.0,UPI,3.5,480.0
INV-018,2024-08-13,Branch C,Mumbai,Normal,Male,Chips,Snacks,5,55.0,Cash,3.5,275.0
